Date	Plot	GreenSeeker
8/12/2014	205	0.801481236
8/12/2014	206	0.764977973
8/12/2014	207	0.576621266
8/12/2014	208	0.83445288
8/12/2014	209	0.606158163
8/12/2014	210	0.809361468
8/12/2014	211	0.805033474
8/12/2014	212	0.774739865
8/12/2014	213	0.82911183
8/12/2014	214	0.786422083
8/12/2014	215	0.808634314
8/12/2014	216	0.765468734
8/12/2014	217	0.587149081
8/12/2014	218	0.609719686
8/12/2014	219	0.756213995
8/12/2014	220	0.609025941
8/12/2014	221	0.834224586
8/12/2014	222	0.849241084
8/12/2014	223	0.672586949
8/12/2014	224	0.769565934
12/12/2014	201	0.542495727
12/12/2014	202	0.819436277
12/12/2014	203	0.719392982
12/12/2014	204	0.602701526
12/12/2014	205	0.831250676
12/12/2014	206	0.815306443
12/12/2014	207	0.661608819
12/12/2014	208	0.858213378
12/12/2014	209	0.666798696
12/12/2014	210	0.836137676
12/12/2014	211	0.836254788
12/12/2014	212	0.818064403
12/12/2014	213	0.852110797
12/12/2014	214	0.824716768
12/12/2014	215	0.843954555
12/12/2014	216	0.802157399
12/12/2014	217	0.652217531
12/12/2014	218	0.664496913
12/12/2014	219	0.796937468
12/12/2014	220	0.653526925
12/12/2014	221	0.864519205
12/12/2014	222	0.871006744
12/12/2014	223	0.730311343
12/12/2014	224	0.829547009
16/12/2014	201	0.470707756
16/12/2014	202	0.785933595
16/12/2014	203	0.689942345
16/12/2014	204	0.599774961
16/12/2014	205	0.797589595
16/12/2014	206	0.756411637
16/12/2014	207	0.613645178
16/12/2014	208	0.817310858
16/12/2014	209	0.648450943
16/12/2014	210	0.808273726
16/12/2014	211	0.786453249
16/12/2014	212	0.786740567
16/12/2014	213	0.806815131
16/12/2014	214	0.793103945
16/12/2014	215	0.803756024
16/12/2014	216	0.783366915
16/12/2014	217	0.614889042
16/12/2014	218	0.616368338
16/12/2014	219	0.767957519
16/12/2014	220	0.60996338
16/12/2014	221	0.824577234
16/12/2014	222	0.83750426
16/12/2014	223	0.672232924
16/12/2014	224	0.798514472
18/12/2014	201	0.504636902
18/12/2014	202	0.832737418
18/12/2014	203	0.733586944
18/12/2014	204	0.626093421
18/12/2014	205	0.839133068
18/12/2014	206	0.802713478
18/12/2014	207	0.696342004
18/12/2014	208	0.857611627
18/12/2014	209	0.679990709
18/12/2014	210	0.836428286
18/12/2014	211	0.82974597
18/12/2014	212	0.835314286
18/12/2014	213	0.846321823
18/12/2014	214	0.83797086
18/12/2014	215	0.841980291
18/12/2014	216	0.809708063
18/12/2014	217	0.653730561
18/12/2014	218	0.684413822
18/12/2014	219	0.804291864
18/12/2014	220	0.647812767
18/12/2014	221	0.860775384
18/12/2014	222	0.871774861
18/12/2014	223	0.730596132
18/12/2014	224	0.840126582
23/12/2014	201	0.519413094
23/12/2014	202	0.790905134
23/12/2014	203	0.725651479
23/12/2014	204	0.569475556
23/12/2014	205	0.8011744
23/12/2014	206	0.757953654
23/12/2014	207	0.648965353
23/12/2014	208	0.821641412
23/12/2014	209	0.616007717
23/12/2014	210	0.804681028
23/12/2014	211	0.77313038
23/12/2014	212	0.810304026
23/12/2014	213	0.832710413
23/12/2014	214	0.815893374
23/12/2014	215	0.787934964
23/12/2014	216	0.785009506
23/12/2014	217	0.595496203
23/12/2014	218	0.650320824
23/12/2014	219	0.783165561
23/12/2014	220	0.572051738
23/12/2014	221	0.79914899
23/12/2014	222	0.846384597
23/12/2014	223	0.711335153
23/12/2014	224	0.81647381
30/12/2014	201	0.548969251
30/12/2014	202	0.762501372
30/12/2014	203	0.781539336
30/12/2014	204	0.572382573
30/12/2014	205	0.823824508
30/12/2014	206	0.78376482
30/12/2014	207	0.631386727
30/12/2014	208	0.804608665
30/12/2014	209	0.597645599
30/12/2014	210	0.818327314
30/12/2014	211	0.806241755
30/12/2014	212	0.827730681
30/12/2014	213	0.762982534
30/12/2014	214	0.844190026
30/12/2014	215	0.798302279
30/12/2014	216	0.798999256
30/12/2014	217	0.582292264
30/12/2014	218	0.653963893
30/12/2014	219	0.781855667
30/12/2014	220	0.558264328
30/12/2014	221	0.813512167
30/12/2014	222	0.855870102
30/12/2014	223	0.713726941
30/12/2014	224	0.838430892
6/01/2015	201	0.600016289
6/01/2015	202	0.721400722
6/01/2015	203	0.73304403
6/01/2015	204	0.504725611
6/01/2015	205	0.696889186
6/01/2015	206	0.769863226
6/01/2015	207	0.671074061
6/01/2015	208	0.742375656
6/01/2015	209	0.508336334
6/01/2015	210	0.612998903
6/01/2015	211	0.775431097
6/01/2015	212	0.762211331
6/01/2015	213	0.744033191
6/01/2015	214	0.790052703
6/01/2015	215	0.779598992
6/01/2015	216	0.68999599
6/01/2015	217	0.511784424
6/01/2015	218	0.682560303
6/01/2015	219	0.605360452
6/01/2015	220	0.464874084
6/01/2015	221	0.788438824
6/01/2015	222	0.77879395
6/01/2015	223	0.752072396
6/01/2015	224	0.776864702
8/01/2015	201	0.532142749
8/01/2015	202	0.699535397
8/01/2015	203	0.704332257
8/01/2015	204	0.445409667
8/01/2015	205	0.654916899
8/01/2015	206	0.751971156
8/01/2015	207	0.630968904
8/01/2015	208	0.739799832
8/01/2015	209	0.444488983
8/01/2015	210	0.53059486
8/01/2015	211	0.769355824
8/01/2015	212	0.742399039
8/01/2015	213	0.75111229
8/01/2015	214	0.782498272
8/01/2015	215	0.767694352
8/01/2015	216	0.638152614
8/01/2015	217	0.454671372
8/01/2015	218	0.67863725
8/01/2015	219	0.557634797
8/01/2015	220	0.415945334
8/01/2015	221	0.794678728
8/01/2015	222	0.774245221
8/01/2015	223	0.726022291
8/01/2015	224	0.798640073
14/01/2015	201	0.560142828
14/01/2015	202	0.652925067
14/01/2015	203	0.637959317
14/01/2015	204	0.320858223
14/01/2015	205	0.40846896
14/01/2015	206	0.692019845
14/01/2015	207	0.600269403
14/01/2015	208	0.731709227
14/01/2015	209	0.300854457
14/01/2015	210	0.262400429
14/01/2015	211	0.679032563
14/01/2015	212	0.684076177
14/01/2015	213	0.752441801
14/01/2015	214	0.705023979
14/01/2015	215	0.704277629
14/01/2015	216	0.425893104
14/01/2015	217	0.314049516
14/01/2015	218	0.623025774
14/01/2015	219	0.305193833
14/01/2015	220	0.271043723
14/01/2015	221	0.719058897
14/01/2015	222	0.792543126
14/01/2015	223	0.65446408
14/01/2015	224	0.699183901
16/01/2015	201	0.484938495
16/01/2015	202	0.669024479
16/01/2015	203	0.597533671
16/01/2015	204	0.249743772
16/01/2015	205	0.327168012
16/01/2015	206	0.643205636
16/01/2015	207	0.53189492
16/01/2015	208	0.761458204
16/01/2015	209	0.254484689
16/01/2015	210	0.229390456
16/01/2015	211	0.651317753
16/01/2015	212	0.585175155
16/01/2015	213	0.753795184
16/01/2015	214	0.701105625
16/01/2015	215	0.670409299
16/01/2015	216	0.322902659
16/01/2015	217	0.247737383
16/01/2015	218	0.56984774
16/01/2015	219	0.201628174
16/01/2015	220	0.222892485
16/01/2015	221	0.689496494
16/01/2015	222	0.775113751
16/01/2015	223	0.641095222
16/01/2015	224	0.649696095
19/01/2015	201	0.300533752
19/01/2015	202	0.532884685
19/01/2015	203	0.405548203
19/01/2015	204	0.157718854
19/01/2015	205	0.204827979
19/01/2015	206	0.526371986
19/01/2015	207	0.314059522
19/01/2015	208	0.703984229
19/01/2015	209	0.153407747
19/01/2015	210	0.14665113
19/01/2015	211	0.582990073
19/01/2015	212	0.253582975
19/01/2015	213	0.666979677
19/01/2015	214	0.505175706
19/01/2015	215	0.551875007
19/01/2015	216	0.195380855
19/01/2015	217	0.149161894
19/01/2015	218	0.395823434
19/01/2015	219	0.135508222
19/01/2015	220	0.150503627
19/01/2015	221	0.624031421
19/01/2015	222	0.699475636
19/01/2015	223	0.478640708
19/01/2015	224	0.432047428
22/01/2015	201	0.216826018
22/01/2015	202	0.439459416
22/01/2015	203	0.311356493
22/01/2015	204	0.143318957
22/01/2015	205	0.165336164
22/01/2015	206	0.468122785
22/01/2015	207	0.238533997
22/01/2015	208	0.627442648
22/01/2015	209	0.136050198
22/01/2015	210	0.131457382
22/01/2015	211	0.546190074
22/01/2015	212	0.211274097
22/01/2015	213	0.530817253
22/01/2015	214	0.356647667
22/01/2015	215	0.465524812
22/01/2015	216	0.16599179
22/01/2015	217	0.145500834
22/01/2015	218	0.282093275
22/01/2015	219	0.13356899
22/01/2015	220	0.145410411
22/01/2015	221	0.580060918
22/01/2015	222	0.653128926
22/01/2015	223	0.367301813
22/01/2015	224	0.325349611
26/01/2015	201	0.128492704
26/01/2015	202	0.238503244
26/01/2015	203	0.192998479
26/01/2015	204	0.11356612
26/01/2015	205	0.144675754
26/01/2015	206	0.241115511
26/01/2015	207	0.149043013
26/01/2015	208	0.346341805
26/01/2015	209	0.114949102
26/01/2015	210	0.121857502
26/01/2015	211	0.354734489
26/01/2015	212	0.151109481
26/01/2015	213	0.319170993
26/01/2015	214	0.201620588
26/01/2015	215	0.275522121
26/01/2015	216	0.133533389
26/01/2015	217	0.113471802
26/01/2015	218	0.14971156
26/01/2015	219	0.111423953
26/01/2015	220	0.11843976
26/01/2015	221	0.425022824
26/01/2015	222	0.472128953
26/01/2015	223	0.181298941
26/01/2015	224	0.194269467
29/01/2015	201	0.128092572
29/01/2015	202	0.182818634
29/01/2015	203	0.168912709
29/01/2015	206	0.179054421
29/01/2015	207	0.132191617
29/01/2015	208	0.214349087
29/01/2015	211	0.228642736
29/01/2015	212	0.140239889
29/01/2015	213	0.209221411
29/01/2015	214	0.166523673
29/01/2015	215	0.217641978
29/01/2015	218	0.142983426
29/01/2015	221	0.352779471
29/01/2015	222	0.383012455
29/01/2015	223	0.156066449
29/01/2015	224	0.174755248
2/02/2015	201	0.11095855
2/02/2015	202	0.140029422
2/02/2015	203	0.132995297
2/02/2015	206	0.145356812
2/02/2015	207	0.119775989
2/02/2015	208	0.162446486
2/02/2015	211	0.153980826
2/02/2015	212	0.122307364
2/02/2015	213	0.15268846
2/02/2015	214	0.140251948
2/02/2015	215	0.14950394
2/02/2015	218	0.135197213
2/02/2015	221	0.206452294
2/02/2015	222	0.275672588
2/02/2015	223	0.143794901
2/02/2015	224	0.154292397
4/02/2015	201	0.111426485
4/02/2015	202	0.128307514
4/02/2015	203	0.130009146
4/02/2015	206	0.143297878
4/02/2015	207	0.120399961
4/02/2015	208	0.152461832
4/02/2015	211	0.149406544
4/02/2015	212	0.119793264
4/02/2015	213	0.136549513
4/02/2015	214	0.131649963
4/02/2015	215	0.139240037
4/02/2015	218	0.13212608
4/02/2015	221	0.171426749
4/02/2015	222	0.252216476
4/02/2015	223	0.131831513
4/02/2015	224	0.145653806
10/02/2015	201	0.105527554
10/02/2015	202	0.102526279
10/02/2015	203	0.125961972
10/02/2015	206	0.113916153
10/02/2015	207	0.11633082
10/02/2015	208	0.119629092
10/02/2015	211	0.124141723
10/02/2015	212	0.11432144
10/02/2015	213	0.108901828
10/02/2015	214	0.122345109
10/02/2015	215	0.135466098
10/02/2015	218	0.124942907
10/02/2015	221	0.148502577
10/02/2015	222	0.187803803
10/02/2015	223	0.134968806
10/02/2015	224	0.141147014
