# data from: K:\Rainshelter\Barley_2014_15 spresdsheet ...
Date	Plot	SunScan
16/01/2015	211	0.93804181
16/01/2015	212	0.891041382
16/01/2015	213	0.949719573
16/01/2015	214	0.909981224
16/01/2015	215	0.959212372
16/01/2015	216	0.635196812
16/01/2015	217	0.411533342
16/01/2015	218	0.79313675
16/01/2015	219	0.594802435
16/01/2015	220	0.411700551
16/01/2015	221	0.951540913
16/01/2015	222	0.986452803
16/01/2015	223	0.870113068
16/01/2015	224	0.959864204
19/01/2015	201	0.606171381
19/01/2015	202	0.761845429
19/01/2015	203	0.587626237
19/01/2015	204	0.327651816
19/01/2015	205	0.378295583
19/01/2015	206	0.922067195
19/01/2015	207	0.658475306
19/01/2015	208	0.848963904
19/01/2015	209	0.404077475
19/01/2015	210	0.327604995
19/01/2015	211	0.90516181
19/01/2015	212	0.69155494
19/01/2015	213	0.936465609
19/01/2015	214	0.6425034
19/01/2015	215	0.902224057
19/01/2015	216	0.366912386
19/01/2015	217	0.341346155
19/01/2015	218	0.610504896
19/01/2015	219	0.405059655
19/01/2015	220	0.264263259
19/01/2015	221	0.944036653
19/01/2015	222	0.955443042
19/01/2015	223	0.692985089
19/01/2015	224	0.8632038
22/01/2015	201	0.347281778
22/01/2015	202	0.598782129
22/01/2015	203	0.549150796
22/01/2015	204	0.001593108
22/01/2015	205	0.012295146
22/01/2015	206	0.855708902
22/01/2015	207	0.492870985
22/01/2015	208	0.806956437
22/01/2015	209	0.000464944
22/01/2015	210	0.001483241
22/01/2015	211	0.893151059
22/01/2015	212	0.400499296
22/01/2015	213	0.873577445
22/01/2015	214	0.590521647
22/01/2015	215	0.881128013
22/01/2015	216	0.004920136
22/01/2015	217	-0.00480321
22/01/2015	218	0.572363698
22/01/2015	219	0.00435069
22/01/2015	220	0.006340502
22/01/2015	221	0.922006389
22/01/2015	222	0.923255532
22/01/2015	223	0.655114837
22/01/2015	224	0.632683597
26/01/2015	201	0.428593844
26/01/2015	202	0.601857235
26/01/2015	203	0.477802054
